date,Open,Close
2020-04-12,6887.6,6913.76
2020-04-13,6913.76,6859.43
2020-04-14,6859.43,6879.44
2020-04-15,6879.44,6629.54
2020-04-16,6629.54,7114.55
2020-04-17,7114.55,7037.12
2020-04-18,7037.12,7264.29
2020-04-19,7264.29,7132.88
2020-04-20,7132.88,6842.45
2020-04-21,6842.45,6855.11
2020-04-22,6855.11,7135.41
2020-04-23,7135.41,7489.25
2020-04-24,7489.25,7509.44
2020-04-25,7509.44,7546.92
2020-04-26,7546.92,7701.35
2020-04-27,7701.35,7787.41
2020-04-28,7787.41,7760.32
2020-04-29,7760.32,8784.96
2020-04-30,8784.96,8637.56
2020-05-01,8637.56,8829.12
2020-05-02,8829.12,8981.11
2020-05-03,8981.11,8907.19
2020-05-04,8907.19,8881.65
2020-05-05,8881.65,9029.75
2020-05-06,9029.75,9153.2
2020-05-07,9153.2,9999.93
2020-05-08,9999.93,9808.18
2020-05-09,9808.18,9541.13
2020-05-10,9541.13,8735.05
2020-05-11,8735.05,8568.88
2020-05-12,8568.88,8821.18
2020-05-13,8821.18,9317.44
2020-05-14,9317.44,9793.19
2020-05-15,9793.19,9311.69
2020-05-16,9311.69,9387.08
2020-05-17,9387.08,9670.56
2020-05-18,9670.56,9722.73
2020-05-19,9722.73,9780.2
2020-05-20,9780.2,9509.45
2020-05-21,9509.45,9059.11
2020-05-22,9059.11,9170.74
2020-05-23,9170.74,9186.19
2020-05-24,9186.19,8718.49
2020-05-25,8718.49,8901.48
2020-05-26,8901.48,8844.5
2020-05-27,8844.5,9204.62
2020-05-28,9204.62,9579.71
2020-05-29,9579.71,9424.62
2020-05-30,9424.62,9699.78
2020-05-31,9699.78,9450.47
2020-06-01,9450.47,10211.23
2020-06-02,10211.23,9523.75
2020-06-03,9523.75,9666.06
2020-06-04,9666.06,9794.55
2020-06-05,9794.55,9622.02
2020-06-06,9622.02,9671.46
2020-06-07,9671.46,9750.7
2020-06-08,9750.7,9782.58
2020-06-09,9782.58,9779.7
2020-06-10,9779.7,9891.84
2020-06-11,9891.84,9268.13
2020-06-12,9268.13,9464.23
2020-06-13,9464.23,9474.65
2020-06-14,9474.65,9333.7
2020-06-15,9333.7,9429.65
2020-06-16,9429.65,9526.7
2020-06-17,9526.7,9459.13
2020-06-18,9459.13,9380.67
2020-06-19,9380.67,9301.83
2020-06-20,9301.83,9359.18
2020-06-21,9359.18,9292.81
2020-06-22,9292.81,9691.61
2020-06-23,9691.61,9624.3
2020-06-24,9624.3,9292.94
2020-06-25,9292.94,9241.32
2020-06-26,9241.32,9158.07
2020-06-27,9158.07,9007.14
2020-06-28,9007.14,9120.39
2020-06-29,9120.39,9187.07
2020-06-30,9187.07,9136.47
2020-07-01,9136.47,9238.89
2020-07-02,9238.89,9092.8
2020-07-03,9092.8,9066.46
2020-07-04,9066.46,9142.2
2020-07-05,9142.2,9081.44
2020-07-06,9081.44,9347.05
2020-07-07,9347.05,9257.32
2020-07-08,9257.32,9439.2
2020-07-09,9439.2,9238.95
2020-07-10,9238.95,9288.57
2020-07-11,9288.57,9237.13
2020-07-12,9237.13,9300.95
2020-07-13,9300.95,9237.89
2020-07-14,9237.89,9256.07
2020-07-15,9256.07,9193.22
2020-07-16,9193.22,9133.23
2020-07-17,9133.23,9156.79
2020-07-18,9156.79,9177.22
2020-07-19,9177.22,9216.02
2020-07-20,9216.02,9164.42
2020-07-21,9164.42,9392.83
2020-07-22,9392.83,9537.24
2020-07-23,9537.24,9615.21
2020-07-24,9615.21,9550.23
2020-07-25,9550.23,9708.41
2020-07-26,9708.41,9942.01
2020-07-27,9942.01,11042.94
2020-07-28,11042.94,10933.26
2020-07-29,10933.26,11112.04
2020-07-30,11112.04,11113.66
2020-07-31,11113.66,11352.72
2020-08-01,11352.72,11812.42
2020-08-02,11812.42,11063.5
2020-08-03,11063.5,11234.73
2020-08-04,11234.73,11194.18
2020-08-05,11194.18,11752.05
2020-08-06,11752.05,11771.27
2020-08-07,11771.27,11603.82
2020-08-08,11603.82,11770.77
2020-08-09,11770.77,11686.34
2020-08-10,11686.34,11897.41
2020-08-11,11897.41,11389.01
2020-08-12,11389.01,11570.19
2020-08-13,11570.19,11790.68
2020-08-14,11790.68,11774.52
2020-08-15,11774.52,11860.91
2020-08-16,11860.91,11917.97
2020-08-17,11917.97,12301.19
2020-08-18,12301.19,11956.69
2020-08-19,11956.69,11760.37
2020-08-20,11760.37,11863.43
2020-08-21,11863.43,11527.35
2020-08-22,11527.35,11670.42
2020-08-23,11670.42,11651.52
2020-08-24,11651.52,11756.4
2020-08-25,11756.4,11330.56
2020-08-26,11330.56,11466.89
2020-08-27,11466.89,11331.02
2020-08-28,11331.02,11535.21
2020-08-29,11535.21,11480.48
2020-08-30,11480.48,11716.54
2020-08-31,11716.54,11657.81
2020-09-01,11657.81,11926.69
2020-09-02,11926.69,11397.9
2020-09-03,11397.9,10174.62
2020-09-04,10174.62,10467.33
2020-09-05,10467.33,10167.97
2020-09-06,10167.97,10260.37
2020-09-07,10260.37,10379.08
2020-09-08,10379.08,10128.54
2020-09-09,10128.54,10228.85
2020-09-10,10228.85,10345.68
2020-09-11,10345.68,10398.5
2020-09-12,10398.5,10448.0
2020-09-13,10448.0,10332.36
2020-09-14,10332.36,10678.31
2020-09-15,10678.31,10786.7
2020-09-16,10786.7,10957.1
2020-09-17,10957.1,10945.14
2020-09-18,10945.14,10937.89
2020-09-19,10937.89,11083.61
2020-09-20,11083.61,10921.85
2020-09-21,10921.85,10418.14
2020-09-22,10418.14,10534.73
2020-09-23,10534.73,10238.09
2020-09-24,10238.09,10742.98
2020-09-25,10742.98,10694.12
2020-09-26,10694.12,10734.23
2020-09-27,10734.23,10781.47
2020-09-28,10781.47,10699.0
2020-09-29,10699.0,10841.29
2020-09-30,10841.29,10779.42
2020-10-01,10779.42,10622.79
2020-10-02,10622.79,10576.64
2020-10-03,10576.64,10552.04
2020-10-04,10552.04,10675.52
2020-10-05,10675.52,10795.11
2020-10-06,10795.11,10603.9
2020-10-07,10603.9,10672.67
2020-10-08,10672.67,10929.4
2020-10-09,10929.4,11058.78
2020-10-10,11058.78,11301.57
2020-10-11,11301.57,11375.51
2020-10-12,11375.51,11539.76
2020-10-13,11539.76,11427.29
2020-10-14,11427.29,11429.3
2020-10-15,11429.3,11508.31
2020-10-16,11508.31,11326.25
2020-10-17,11326.25,11367.65
2020-10-18,11367.65,11513.33
2020-10-19,11513.33,11756.88
2020-10-20,11756.88,11921.78
2020-10-21,11921.78,12813.11
2020-10-22,12813.11,12990.25
2020-10-23,12990.25,12937.2
2020-10-24,12937.2,13126.13
2020-10-25,13126.13,13041.21
2020-10-26,13041.21,13069.43
2020-10-27,13069.43,13646.02
2020-10-28,13646.02,13285.97
2020-10-29,13285.97,13462.18
2020-10-30,13462.18,13565.95
2020-10-31,13565.95,13803.41
2020-11-01,13803.41,13761.72
2020-11-02,13761.72,13571.24
2020-11-03,13571.24,14023.78
2020-11-04,14023.78,14157.73
2020-11-05,14157.73,15599.92
2020-11-06,15599.92,15590.62
2020-11-07,15590.62,14838.16
2020-11-08,14838.16,15488.25
2020-11-09,15488.25,15335.03
2020-11-10,15335.03,15313.73
2020-11-11,15313.73,15707.08
2020-11-12,15707.08,16306.53
2020-11-13,16306.53,16332.85
2020-11-14,16332.85,16075.95
2020-11-15,16075.95,15964.7
2020-11-16,15964.7,16721.46
2020-11-17,16721.46,17681.54
2020-11-18,17681.54,17786.27
2020-11-19,17786.27,17824.64
2020-11-20,17824.64,18672.78
2020-11-21,18672.78,18704.06
2020-11-22,18704.06,18430.59
2020-11-23,18430.59,18385.74
2020-11-24,18385.74,19157.16
2020-11-25,19157.16,18725.76
2020-11-26,18725.76,17175.86
2020-11-27,17175.86,17155.0
2020-11-28,17155.0,17739.9
2020-11-29,17739.9,18199.23
2020-11-30,18199.23,19686.87
2020-12-01,19686.87,18792.03
2020-12-02,18792.03,19226.19
2020-12-03,19226.19,19448.44
2020-12-04,19448.44,18665.0
2020-12-05,18665.0,19156.84
2020-12-06,19156.84,19378.94
2020-12-07,19378.94,19181.41
2020-12-08,19181.41,18323.52
2020-12-09,18323.52,18549.92
2020-12-10,18549.92,18250.47
2020-12-11,18250.47,18034.86
2020-12-12,18034.86,18814.98
2020-12-13,18814.98,19169.05
2020-12-14,19169.05,19274.69
2020-12-15,19274.69,19441.96
2020-12-16,19441.96,21352.13
2020-12-17,21352.13,22822.17
2020-12-18,22822.17,23135.57
2020-12-19,23135.57,23844.72
2020-12-20,23844.72,23467.06
2020-12-21,23467.06,22727.13
2020-12-22,22727.13,23823.32
2020-12-23,23823.32,23239.5
2020-12-24,23239.5,23724.2
2020-12-25,23724.2,24707.98
2020-12-26,24707.98,26445.7
2020-12-27,26445.7,26249.27
2020-12-28,26249.27,27039.45
2020-12-29,27039.45,27360.78
2020-12-30,27360.78,28889.61
2020-12-31,28889.61,28972.4
2021-01-01,28972.4,29388.94
2021-01-02,29388.94,32203.64
2021-01-03,32203.64,33063.48
2021-01-04,33063.48,32030.55
2021-01-05,32030.55,34038.29
2021-01-06,34038.29,36849.86
2021-01-07,36849.86,39479.41
2021-01-08,39479.41,40636.24
2021-01-09,40636.24,40236.66
2021-01-10,40236.66,38202.08
2021-01-11,38202.08,35496.03
2021-01-12,35496.03,34058.4
2021-01-13,34058.4,37380.85
2021-01-14,37380.85,39155.58
2021-01-15,39155.58,36790.17
2021-01-16,36790.17,36025.26
2021-01-17,36025.26,35839.51
2021-01-18,35839.51,36623.04
2021-01-19,36623.04,35932.79
2021-01-20,35932.79,35501.38
2021-01-21,35501.38,30840.3
2021-01-22,30840.3,33008.02
2021-01-23,33008.02,32107.29
2021-01-24,32107.29,32283.66
2021-01-25,32283.66,32275.27
2021-01-26,32275.27,32516.52
2021-01-27,32516.52,30423.05
2021-01-28,30423.05,33443.87
2021-01-29,33443.87,34252.08
2021-01-30,34252.08,34317.82
2021-01-31,34317.82,33143.22
2021-02-01,33143.22,33535.94
2021-02-02,33535.94,35524.43
2021-02-03,35524.43,37677.34
2021-02-04,37677.34,36983.42
2021-02-05,36983.42,38310.24
2021-02-06,38310.24,39267.01
2021-02-07,39267.01,38868.82
2021-02-08,38868.82,46437.41
2021-02-09,46437.41,46509.57
2021-02-10,46509.57,44854.95
2021-02-11,44854.95,48006.18
2021-02-12,48006.18,47435.54
2021-02-13,47435.54,47222.32
2021-02-14,47222.32,48652.87
2021-02-15,48652.87,47936.51
2021-02-16,47936.51,49184.63
2021-02-17,49184.63,52154.91
2021-02-18,52154.91,51591.61
2021-02-19,51591.61,55933.47
2021-02-20,55933.47,55900.84
2021-02-21,55900.84,57469.95
2021-02-22,57469.95,54121.17
2021-02-23,54121.17,48898.7
2021-02-24,48898.7,49738.17
2021-02-25,49738.17,47082.87
2021-02-26,47082.87,46324.5
2021-02-27,46324.5,46191.39
2021-02-28,46191.39,45261.03
2021-03-01,45261.03,49635.07
2021-03-02,49635.07,48501.21
2021-03-03,48501.21,50392.55
2021-03-04,50392.55,48363.74
